Symbol,Company Name,Industry,Series
WABAG,Va Tech Wabag Ltd.,SERVICES,EQ
VAKRANGEE,Vakrangee Ltd.,IT,EQ
VTL,Vardhman Textiles Ltd.,TEXTILES,EQ
VARROC,Varroc Engineering Ltd.,AUTOMOBILE,EQ
VBL,Varun Beverages Ltd.,CONSUMER GOODS,EQ
VEDL,Vedanta Ltd.,METALS,EQ
VENKEYS,Venky's (India) Ltd.,CONSUMER GOODS,EQ
VINATIORGA,Vinati Organics Ltd.,CHEMICALS,EQ
IDEA,Vodafone Idea Ltd.,TELECOM,EQ
VOLTAS,Voltas Ltd.,CONSUMER GOODS,EQ
WABCOINDIA,WABCO India Ltd.,AUTOMOBILE,EQ
WELCORP,Welspun Corp Ltd.,METALS,EQ
WELSPUNIND,Welspun India Ltd.,TEXTILES,EQ
WHIRLPOOL,Whirlpool of India Ltd.,CONSUMER GOODS,EQ
WIPRO,Wipro Ltd.,IT,EQ
WOCKPHARMA,Wockhardt Ltd.,PHARMA,EQ
YESBANK,Yes Bank Ltd.,FINANCIAL SERVICES,EQ
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,EQ
ZENSARTECH,Zensar Technolgies Ltd.,IT,EQ
ZYDUSWELL,Zydus Wellness Ltd.,CONSUMER GOODS,EQ
ECLERX,eClerx Services Ltd.,IT,EQ
